the,168760
of,100341
and,83804
in,67808
to,61340
a,49249
is,32837
as,24845
for,24319
that,20865
by,19036
are,16521
with,15914
on,15163
from,13732
was,13262
be,13045
or,12517
s,11148
it,11134
energy,10921
an,10155
this,9278
which,9132
at,9108
has,8988
have,8127
also,7651
can,7344
power,6613
such,6517
not,6117
more,6063
its,5977
other,5745
were,5311
their,5259
been,5125
new,5009
than,5001
water,4981
used,4978
world,4855
use,4723
development,4665
environmental,4589
these,4421
one,4301
but,4285
some,4103
into,4064
most,4009
may,3965
they,3856
many,3720
first,3672
there,3665
all,3612
carbon,3440
solar,3347
united,3316
states,3211
will,3077
production,3048
wind,3043
fuel,3029
between,3025
about,3016
population,2969
over,2967
gas,2953
would,2940
system,2922
natural,2896
social,2889
when,2859
electricity,2857
through,2789
countries,2741
his,2722
oil,2720
us,2690
had,2660
economic,2621
only,2608
renewable,2599
years,2583
he,2580
human,2496
systems,2428
sustainable,2418
city,2406
global,2392
per,2314
two,2309
however,2305
national,2304
emissions,2301
research,2294
government,2256
people,2240
time,2228
international,2206
including,2201
include,2192
during,2182
after,2176
public,2161
heat,2159
since,2157
while,2151
high,2141
environment,2127
where,2118
large,2087
well,2084
because,2080
being,2058
state,2046
up,2040
technology,2037
resources,2015
process,2013
growth,1998
land,1988
nuclear,1983
areas,1963
who,1960
under,1946
both,1932
million,1912
often,1906
using,1903
example,1892
plants,1845
climate,1836
waste,1833
if,1829
urban,1805
number,1797
change,1769
year,1764
air,1761
country,1703
species,1701
could,1700
work,1678
out,1676
plant,1669
no,1667
within,1648
cost,1642
developed,1640
due,1622
policy,1614
-,1606
health,1603
area,1592
local,1571
then,1564
much,1548
capacity,1541
around,1539
earth,1538
planning,1530
see,1512
each,1511
major,1505
cities,1505
known,1500
hydrogen,1498
according,1494
less,1486
made,1474
based,1470
any,1469
several,1466
different,1461
increase,1459
design,1455
project,1444
so,1443
part,1432
produced,1432
sustainability,1427
management,1424
sources,1421
total,1418
those,1416
european,1410
century,1408
three,1401
co2,1388
green,1378
form,1374
1,1369
science,1345
early,1343
building,1343
life,1336
industrial,1322
although,1317
market,1313
food,1306
community,1301
efficiency,1299
generation,1293
low,1286
them,1275
dioxide,1274
storage,1271
called,1270
study,1263
university,1261
produce,1253
industry,1244
higher,1236
largest,1233
very,1230
economy,1228
found,1227
even,1222
costs,1221
small,1218
projects,1215
capital,1214
common,1213
term,1210
nations,1206
billion,1200
fuels,1198
rate,1197
company,1196
same,1193
2010,1192
level,1180
temperature,1180
another,1171
now,1164
consumption,1164
increased,1162
important,1159
further,1154
2,1148
society,1142
products,1141
europe,1137
reduce,1133
source,1132
like,1130
built,1119
current,1107
future,1100
materials,1100
provide,1098
potential,1097
impact,1079
10,1075
technologies,1075
must,1074
political,1072
history,1069
services,1063
ecological,1054
2011,1050
among,1043
later,1038
nature,1037
control,1036
result,1035
levels,1034
available,1033
mw,1033
china,1032
general,1028
should,1026
program,1024
significant,1022
following,1021
report,1018
external,1014
pollution,1014
become,1014
wikipedia,1010
various,1010
electric,1003
make,1002
north,1000
construction,1000
references,996
movement,996
without,995
